: inscne
ab	ban-ab
adhaltrach	banadhaltrach
aisteoir	ban-aisteoir
altra	banaltra
ardmháistir	ardmháistreás
athair	máthair
bainisteoir	bainistreás
bíocunta	bíocuntaois
bráthair	siúr
buachaill	cailín
cara	banchara
cealgaire	banchealgaire
cliamhain	banchliamhain
cunta	cuntaois
daideo	mamó
daidí	mamaí
dea-fhear	dea-bhean
deartháir	deirfiúr
dia	bandia
diúc	bandiúc
dochtúir	bandochtúir
doirseoir	bandoirseoir
draoi	bandraoi
é	í
fáidh	banfháidh
file	banfhile
flaith	banfhlaith
freastalaí	banfhreastalaí
fuirseoir	banfhuirseoir
gaiscíoch	banghaiscíoch
garda	bangharda
garmhac	gariníon
garnia	garneacht
impire	banimpire
laoch	banlaoch
leasathair	leasmháthair
leasdeartháir	leasdeirfiúr
leasmhac	leasiníon
leon	banleon
lia	banlia
mac	iníon
máistir	máistreás
maor	banmhaor
méara	banmhéara
naomh	ban-naomh
nia	neacht
ógfhear	ógbhean
óglach	banóglach
oide	banoide
oidhre	banoidhre
óstach	banóstach
príomhaisteoir	príomh-bhanaisteoir
prionsa	banphrionsa
príosúnach	banphríosúnach
rinceoir	banrinceoir
rí	banríon
sabhdán	bansabhdán
sagart	bansagart
sé	sí
seanathair	seanmháthair
seanbhuachaill	seanchailín
seanfhear	seanbhean
seirbhíseach	banseirbhíseach
sióg	bansióg
stiúrthóir	banstiúrthóir
tiarna	bantiarna
tréadaí	bantréadaí
uchtmhac	uchtiníon
uncail	aintín
: treoracha
sall	anall
siar	aniar
síos	aníos
soir	anoir
suas	anuas
: sona-dona
saibhir	daibhir
saoi	daoi
saoirse	daoirse
saor	daor
sochar	dochar
sochma	dochma
soilbhir	doilbhir
soiléir	doiléir
soilíos	doilíos
soineann	doineann
soineanta	doineanta
sólás	dólás
sona	dona
sonas	donas
sorcha	dorcha
suáilce	duáilce
suairc	duairc
: ceoltóirí-gléasanna-ceoil
basún	basúnadóir
bodhrán	bodhránaí
cairdín	cairdíneoir
clairinéad	clairinéadóir
cláirseach	cláirseoir
cruit	cruitire
dord	dordóir
dordghiotár	dordghiotáraí
dordveidhil	dordveidhleadóir
druma	drumadóir
fidil	fidléir
fliúit	fliúiteadóir
giotár	giotáraí
óbó	óbóir
orgán	orgánaí
pianó	pianódóir
sacsafón	sacsafónaí
tiompán	tiompánaí
tiúba	tiúbadóir
trombón	trombónaí
trumpa	trumpadóir
veidhlín	veidhleadóir
xileafón	xileafónaí
: aidiacht-neamhchosúil
áitiúil	domhanda
annamh	minic
ard	íseal
bán	dubh
beag	mór
beo	marbh
ceart	mícheart
cinnte	neamhchinnte
cúng	leathan
deacair	éasca
domhanda	áitiúil
dubh	bán
dúnta	oscailte
éasca	deacair
fada	gearr
gearr	fada
íseal	ard
lag	láidir
láidir	lag
leathan	cúng
marbh	beo
mícheart	ceart
minic	annamh
míshásta	sásta
mór	beag
neamhchinnte	cinnte
neamhoifigiúil	oifigiúil
nua	sean
oifigiúil	neamhoifigiúil
oscailte	dúnta
poiblí	príobháideach
príobháideach	poiblí
sásta	míshásta
sean	nua
: aidiacht-breischéim
ard	airde
beag	lú
ceart	cirte
cruinn	cruinne
cuimsitheach	cuimsithí
deacair	deacra
déanach	déanaí
deas	deise
deireanach	deireanaí
dian	déine
dlúth	dlúithe
domhain	doimhne
éifeachtach	éifeachtaí
fada	faide
forleathan	forleithne
gar	gaire
géar	géire
gearr	giorra
iomlán	iomláine
íseal	ísle
láidir	láidre
leathan	leithne
luath	luaithe
maith	fearr
mall	moille
minic	minice
mór	mó
óg	óige
oiriúnach	oiriúnaí
olc	measa
saor	saoire
sean	sine
soiléir	soiléire
tábhachtach	tábhachtaí
: ainmfhocal-ginideach
acht	achta
airgeadas	airgeadais
airgead	airgid
aonar	aonair
bainistíocht	bainistíochta
bliain	bliana
cáin	cánach
caint	cainte
cathair	cathrach
ceannas	ceannais
ceol	ceoil
cúirt	cúirte
deireadh	deiridh
eolas	eolais
faisnéis	faisnéise
feidhm	feidhme
foghlaim	foghlama
fómhar	fómhair
